                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.76683,                0.49158,                0.89249,                0.93375,                0.62457,                0.89477,                0.85527,                0.60531,                0.80672,                 0.6144,                0.86871,                0.54123,                0.89744,                 0.9655,                0.64894,                0.89454,             0.00038193,             0.00038193,             0.00038193
                     86,                0.73957,                0.46418,                0.88378,                0.89854,                0.56365,                0.88459,                0.86418,                0.69092,                0.82915,                0.63312,                0.87069,                0.50235,                0.89828,                0.96705,                0.58534,                0.89349,             0.00038019,             0.00038019,             0.00038019
                     87,                0.76125,                0.48864,                0.87417,                0.93401,                0.60494,                0.87084,                0.85092,                0.64258,                0.80615,                0.62097,                0.86685,                0.55291,                0.89873,                0.95739,                0.63735,                0.89552,             0.00037846,             0.00037846,             0.00037846
                     88,                0.74869,                0.49012,                0.87292,                0.92965,                0.60953,                0.87304,                0.87273,                0.68139,                0.78897,                0.60252,                0.85048,                0.56517,                0.88962,                0.95136,                0.58631,                0.89033,             0.00037672,             0.00037672,             0.00037672
                     89,                0.73935,                0.47931,                0.87573,                0.93151,                0.60418,                0.87596,                0.87479,                0.70748,                0.82663,                0.63039,                0.85146,                0.53188,                0.89575,                0.95315,                0.56988,                0.89405,             0.00037499,             0.00037499,             0.00037499
                     90,                0.73418,                0.46381,                0.85998,                 0.9055,                0.58402,                0.86172,                0.90505,                0.72761,                 0.8434,                0.63141,                 0.8661,                 0.5057,                0.90002,                0.95363,                 0.5643,                 0.8919,             0.00037325,             0.00037325,             0.00037325
                     91,                0.74422,                0.47901,                0.87816,                0.91337,                0.60493,                 0.8771,                0.75895,                0.75871,                0.82646,                0.63456,                0.87479,                0.51054,                0.90003,                0.96581,                0.55517,                0.89896,             0.00037151,             0.00037151,             0.00037151
                     92,                0.72673,                 0.4469,                 0.8683,                 0.8952,                 0.5515,                0.87271,                0.82211,                0.74689,                0.81828,                0.63629,                 0.8512,                0.48859,                0.90223,                 0.9313,                0.54663,                0.89597,             0.00036978,             0.00036978,             0.00036978
                     93,                0.76774,                0.47036,                0.88705,                0.92887,                0.57734,                0.88798,                 0.8654,                0.68906,                0.82211,                0.62153,                0.86402,                0.51808,                0.89924,                0.97706,                0.61544,                0.89534,             0.00036804,             0.00036804,             0.00036804
                     94,                0.73658,                 0.4589,                0.87403,                 0.9134,                0.58364,                0.87834,                0.87595,                0.73358,                0.86764,                0.64935,                0.88034,                0.49888,                0.90056,                0.99277,                0.55955,                0.89882,             0.00036631,             0.00036631,             0.00036631
