epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1021.55,0.67931,0.42867,0.85476,0.80765,0.91714,0.89901,0.69011,0.86396,0.46399,0.88796,0.000329855,0.000329855,0.000329855
115,1030.36,0.71243,0.43686,0.86015,0.80804,0.87731,0.89453,0.69643,0.85009,0.45141,0.88796,0.000328119,0.000328119,0.000328119
116,1039.03,0.69442,0.42881,0.85761,0.84383,0.84575,0.88575,0.6796,0.85327,0.46191,0.88544,0.000326383,0.000326383,0.000326383
117,1047.78,0.7053,0.43065,0.85604,0.86142,0.82403,0.89757,0.69431,0.85662,0.44931,0.88612,0.000324647,0.000324647,0.000324647
118,1056.75,0.67133,0.419,0.848,0.89957,0.78002,0.90561,0.70638,0.85872,0.45326,0.88669,0.000322911,0.000322911,0.000322911
119,1065.44,0.67289,0.43146,0.86548,0.86387,0.84961,0.90576,0.68696,0.86378,0.4814,0.89942,0.000321176,0.000321176,0.000321176
120,1074.2,0.70381,0.43353,0.86464,0.77702,0.83415,0.85516,0.64678,0.87959,0.49153,0.89952,0.00031944,0.00031944,0.00031944
121,1082.97,0.69426,0.41797,0.85418,0.84852,0.8337,0.88354,0.68289,0.86679,0.47618,0.89215,0.000317704,0.000317704,0.000317704
122,1091.83,0.69368,0.42624,0.85198,0.79682,0.94687,0.91832,0.7012,0.85271,0.46566,0.89212,0.000315968,0.000315968,0.000315968
123,1100.7,0.68216,0.43195,0.84902,0.82374,0.84293,0.89151,0.6701,0.86311,0.50237,0.89178,0.000314232,0.000314232,0.000314232
124,1109.47,0.65949,0.42025,0.84468,0.84106,0.9031,0.90856,0.69079,0.85958,0.45988,0.88695,0.000312497,0.000312497,0.000312497
125,1118.36,0.64694,0.40183,0.84198,0.84479,0.87424,0.91563,0.70626,0.85599,0.46189,0.88649,0.000310761,0.000310761,0.000310761
126,1127.19,0.6715,0.41698,0.85327,0.8127,0.85594,0.88066,0.6947,0.85529,0.48046,0.88487,0.000309025,0.000309025,0.000309025
127,1135.97,0.68439,0.41684,0.86084,0.8357,0.86938,0.84108,0.65471,0.85181,0.52497,0.8914,0.000307289,0.000307289,0.000307289
128,1144.91,0.67935,0.41941,0.84606,0.81265,0.82523,0.82478,0.6357,0.87707,0.50695,0.89312,0.000305553,0.000305553,0.000305553
129,1153.64,0.67672,0.42265,0.85324,0.82235,0.82502,0.86078,0.65761,0.85908,0.47579,0.88726,0.000303818,0.000303818,0.000303818
130,1162.59,0.66766,0.40869,0.84494,0.88541,0.87956,0.88281,0.68641,0.85769,0.45698,0.88623,0.000302082,0.000302082,0.000302082
131,1171.35,0.68616,0.4165,0.85181,0.83867,0.87307,0.86839,0.67984,0.84837,0.47259,0.89052,0.000300346,0.000300346,0.000300346
132,1180.31,0.68358,0.41329,0.84905,0.77694,0.90148,0.89199,0.69752,0.85851,0.45017,0.88659,0.00029861,0.00029861,0.00029861
133,1189.13,0.6505,0.39998,0.8399,0.81122,0.86534,0.88492,0.6798,0.87202,0.45988,0.90001,0.000296874,0.000296874,0.000296874
134,1197.96,0.65182,0.4046,0.83818,0.8254,0.84389,0.90507,0.69814,0.88187,0.4409,0.90043,0.000295139,0.000295139,0.000295139
135,1206.81,0.65699,0.40156,0.83828,0.82746,0.91995,0.87813,0.68677,0.86756,0.44918,0.89748,0.000293403,0.000293403,0.000293403
136,1215.6,0.67059,0.4128,0.85328,0.86363,0.84679,0.88766,0.69175,0.86866,0.46057,0.89182,0.000291667,0.000291667,0.000291667
137,1224.46,0.6412,0.39821,0.84365,0.85445,0.87336,0.88158,0.68956,0.86154,0.47019,0.88931,0.000289931,0.000289931,0.000289931
138,1233.14,0.65226,0.39777,0.85056,0.85324,0.86693,0.92295,0.7005,0.84852,0.44521,0.88678,0.000288195,0.000288195,0.000288195
139,1242.15,0.66467,0.40851,0.84383,0.84305,0.88322,0.93524,0.71501,0.85313,0.4377,0.88673,0.00028646,0.00028646,0.00028646
140,1250.93,0.65279,0.39201,0.84318,0.89351,0.85667,0.9378,0.71366,0.85935,0.45027,0.88852,0.000284724,0.000284724,0.000284724
141,1259.74,0.65431,0.41021,0.84316,0.8954,0.86294,0.91686,0.68549,0.88358,0.4585,0.89341,0.000282988,0.000282988,0.000282988
142,1268.77,0.62805,0.39405,0.84039,0.80899,0.87211,0.89008,0.68822,0.8615,0.45257,0.89068,0.000281252,0.000281252,0.000281252
143,1277.31,0.66246,0.41249,0.86464,0.84666,0.82665,0.88406,0.67906,0.85993,0.47893,0.88902,0.000279516,0.000279516,0.000279516
144,1285.83,0.64718,0.38656,0.84244,0.92199,0.79217,0.88659,0.68563,0.88288,0.47025,0.8969,0.000277781,0.000277781,0.000277781
145,1294.66,0.63231,0.38524,0.83871,0.88825,0.83415,0.90766,0.70453,0.85664,0.45211,0.89434,0.000276045,0.000276045,0.000276045
146,1303.23,0.62875,0.39025,0.84359,0.83635,0.88535,0.90745,0.69319,0.87221,0.45316,0.89915,0.000274309,0.000274309,0.000274309
147,1312.14,0.61695,0.39054,0.83025,0.84693,0.84128,0.89818,0.70596,0.85722,0.45324,0.89226,0.000272573,0.000272573,0.000272573
148,1320.83,0.65609,0.39735,0.85761,0.82545,0.85911,0.89291,0.68766,0.86825,0.44464,0.89436,0.000270837,0.000270837,0.000270837
149,1329.47,0.64988,0.39307,0.84446,0.91408,0.87548,0.90839,0.69713,0.84985,0.45767,0.88689,0.000269102,0.000269102,0.000269102
150,1338.07,0.6588,0.40266,0.85711,0.88042,0.84803,0.90908,0.69677,0.84304,0.42857,0.88762,0.000267366,0.000267366,0.000267366
151,1346.62,0.6078,0.37112,0.82847,0.87046,0.8284,0.8917,0.70229,0.82959,0.44497,0.88429,0.00026563,0.00026563,0.00026563
152,1355.3,0.63539,0.3864,0.84628,0.78107,0.81388,0.85811,0.66719,0.84871,0.47644,0.88469,0.000263894,0.000263894,0.000263894
153,1363.88,0.62852,0.37962,0.84423,0.86738,0.8689,0.91688,0.71053,0.85606,0.45709,0.88679,0.000262158,0.000262158,0.000262158
154,1372.84,0.64684,0.38173,0.85081,0.87294,0.932,0.96523,0.71919,0.86251,0.44078,0.88748,0.000260423,0.000260423,0.000260423
155,1381.46,0.62356,0.3725,0.84947,0.86426,0.89103,0.9142,0.70341,0.86889,0.45798,0.8904,0.000258687,0.000258687,0.000258687
156,1390.33,0.62872,0.39148,0.84521,0.89777,0.92009,0.96463,0.72463,0.85712,0.44559,0.88728,0.000256951,0.000256951,0.000256951
157,1398.83,0.61911,0.3747,0.84353,0.89841,0.90213,0.95206,0.73584,0.85888,0.44896,0.8864,0.000255215,0.000255215,0.000255215
158,1407.51,0.61132,0.38333,0.83987,0.90894,0.85223,0.92801,0.7148,0.85163,0.46083,0.882,0.000253479,0.000253479,0.000253479
159,1416.39,0.60706,0.37245,0.83616,0.84162,0.90563,0.94785,0.71866,0.84308,0.44542,0.88164,0.000251744,0.000251744,0.000251744
160,1425.15,0.59833,0.37323,0.84201,0.84762,0.88255,0.91009,0.70614,0.85424,0.44874,0.88425,0.000250008,0.000250008,0.000250008
161,1434.03,0.6136,0.37962,0.83426,0.89697,0.90318,0.93369,0.72626,0.85467,0.43086,0.88598,0.000248272,0.000248272,0.000248272
162,1442.8,0.63514,0.39119,0.83973,0.81605,0.91842,0.92809,0.71618,0.86436,0.44759,0.88771,0.000246536,0.000246536,0.000246536
163,1451.66,0.62238,0.37957,0.84811,0.82298,0.90397,0.87879,0.68058,0.87104,0.46327,0.88976,0.0002448,0.0002448,0.0002448
164,1460.92,0.61413,0.36946,0.8354,0.82173,0.87426,0.87499,0.67532,0.85906,0.47088,0.88601,0.000243065,0.000243065,0.000243065
165,1469.59,0.5884,0.359,0.82425,0.83855,0.87035,0.89447,0.70342,0.85329,0.43994,0.88708,0.000241329,0.000241329,0.000241329
