                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.98042,                0.52349,                0.98072,                 1.1782,                0.54021,                0.98887,                0.90286,                  0.819,                0.89184,                0.68812,                0.86904,                0.42097,                0.91766,                0.96574,                0.38043,                 0.9125,               0.007822,               0.007822,               0.007822
                     69,                 0.9866,                0.52083,                0.98025,                  1.177,                0.53389,                0.98744,                0.86973,                0.83906,                0.91095,                0.69658,                0.88184,                0.42087,                0.92407,                0.96812,                  0.373,                0.91078,               0.007789,               0.007789,               0.007789
                     70,                0.97311,                0.52002,                0.98106,                 1.1645,                0.53682,                0.98976,                0.94631,                0.81556,                0.90636,                 0.6788,                0.89567,                0.40798,                0.92685,                 1.0017,                 0.3709,                0.92188,               0.007756,               0.007756,               0.007756
                     71,                0.97749,                0.51015,                0.98739,                 1.1743,                0.53341,                0.99595,                 0.9093,                0.81041,                0.87388,                0.66875,                0.88114,                0.43953,                0.91651,                0.97845,                0.38353,                0.91664,               0.007723,               0.007723,               0.007723
                     72,                0.97932,                0.50952,                0.97891,                 1.1849,                0.52264,                 0.9897,                0.89659,                0.79116,                0.87491,                0.66636,                0.88955,                0.43978,                0.92643,                 0.9695,                0.38579,                0.92211,                0.00769,                0.00769,                0.00769
                     73,                0.96726,                0.50456,                0.96813,                 1.1647,                0.52942,                0.98118,                0.87906,                0.84359,                0.87906,                0.67679,                0.85977,                0.41167,                0.91441,                0.95765,                0.36049,                0.91064,               0.007657,               0.007657,               0.007657
                     74,                0.94805,                0.50729,                0.97004,                 1.1479,                0.52152,                0.97841,                0.88644,                0.81273,                0.90927,                0.69089,                0.86126,                 0.4126,                0.91472,                0.95832,                0.34841,                  0.907,               0.007624,               0.007624,               0.007624
                     75,                0.98244,                0.51671,                 0.9822,                 1.1823,                0.55236,                0.99212,                  0.923,                0.81956,                0.88453,                0.68088,                0.86398,                0.43642,                0.91713,                 0.9573,                0.36116,                0.90994,               0.007591,               0.007591,               0.007591
                     76,                0.96122,                0.50194,                0.97992,                 1.1452,                0.50866,                0.98269,                0.76528,                0.91628,                0.91117,                0.69976,                0.87926,                0.40798,                0.92197,                0.96959,                0.34299,                0.91491,               0.007558,               0.007558,               0.007558
                     77,                0.94411,                 0.4903,                0.96974,                 1.1351,                0.49545,                0.97448,                0.90486,                0.79899,                0.88818,                0.68389,                0.86914,                0.41278,                0.91757,                0.97063,                0.36917,                0.91164,               0.007525,               0.007525,               0.007525
                     78,                0.96443,                0.49751,                0.98009,                 1.1601,                0.50782,                0.98371,                0.83774,                0.82535,                0.87464,                0.66965,                0.87949,                0.40237,                0.91724,                0.98285,                0.36079,                0.91471,               0.007492,               0.007492,               0.007492
                     79,                0.95734,                0.50377,                0.97524,                 1.1501,                0.51871,                0.98168,                0.78124,                0.89483,                0.89902,                0.68331,                0.87146,                0.39985,                0.91858,                0.96967,                0.33743,                0.91097,               0.007459,               0.007459,               0.007459
                     80,                0.95994,                0.49781,                0.97431,                 1.1538,                0.51645,                0.98096,                0.78267,                0.90035,                0.91113,                0.70113,                0.88457,                 0.4011,                 0.9207,                0.98397,                0.35152,                0.91768,               0.007426,               0.007426,               0.007426
                     81,                0.94224,                0.49222,                0.96848,                 1.1383,                0.50508,                0.97241,                0.92004,                0.84265,                0.88504,                0.69601,                 0.8625,                0.39627,                0.91514,                0.95316,                0.33539,                 0.9093,               0.007393,               0.007393,               0.007393
                     82,                0.94347,                0.48837,                0.96737,                 1.1343,                0.48571,                0.97224,                0.84064,                0.86664,                0.89989,                0.69159,                  0.867,                0.41467,                0.92023,                0.96499,                0.34698,                0.91221,                0.00736,                0.00736,                0.00736
                     83,                0.93879,                0.49472,                 0.9696,                 1.1257,                0.50298,                  0.974,                 0.8962,                0.77831,                0.85436,                0.65719,                0.86278,                0.39479,                0.91454,                0.96084,                0.34758,                0.91482,               0.007327,               0.007327,               0.007327
                     84,                0.94727,                0.49409,                 0.9653,                 1.1418,                0.50474,                0.96958,                0.77011,                0.84266,                 0.8557,                0.65919,                0.87665,                0.40297,                0.91254,                0.97538,                0.36944,                0.90478,               0.007294,               0.007294,               0.007294
                     85,                 0.9603,                0.49568,                0.97912,                 1.1586,                0.50847,                0.98119,                0.80642,                0.85847,                0.87397,                0.65173,                 0.8843,                0.40854,                 0.9188,                0.98036,                   0.38,                 0.9147,               0.007261,               0.007261,               0.007261
                     86,                0.93408,                0.49095,                0.96359,                 1.1179,                0.51067,                0.96787,                 0.8874,                0.76352,                0.86324,                0.66362,                0.86894,                0.42687,                0.91699,                0.97467,                0.39952,                0.91663,               0.007228,               0.007228,               0.007228
                     87,                0.94223,                0.48695,                0.96835,                  1.137,                0.50423,                0.97475,                 0.9222,                0.77657,                 0.8746,                  0.676,                0.87092,                0.40546,                0.91837,                0.96657,                0.36294,                0.92007,               0.007195,               0.007195,               0.007195
                     88,                0.93955,                 0.4901,                0.96819,                 1.1259,                0.51051,                0.97639,                0.81239,                0.89685,                0.90098,                0.70516,                0.85082,                 0.3989,                 0.9186,                0.95758,                0.36398,                0.92053,               0.007162,               0.007162,               0.007162
                     89,                0.92657,                0.48604,                0.96288,                 1.1168,                0.49858,                0.96956,                0.92216,                0.82485,                0.89956,                0.69535,                 0.8521,                0.40275,                0.91764,                0.95158,                0.37835,                0.91426,               0.007129,               0.007129,               0.007129
                     90,                0.91847,                0.47713,                0.96534,                 1.1089,                0.49675,                0.97085,                0.91142,                0.84296,                0.89551,                0.68808,                0.86187,                0.38701,                0.91495,                0.95883,                 0.3552,                0.90975,               0.007096,               0.007096,               0.007096
                     91,                0.91749,                 0.4834,                0.96209,                 1.1032,                0.49356,                0.97028,                0.91354,                0.85862,                0.91088,                0.70099,                 0.8592,                0.38542,                0.91416,                0.96131,                0.34346,                0.90776,               0.007063,               0.007063,               0.007063
                     92,                0.93898,                0.47919,                0.96109,                 1.1326,                0.49492,                0.96759,                0.91295,                0.83245,                0.90272,                0.69271,                0.86249,                0.38979,                0.91827,                0.97051,                0.36053,                0.91374,                0.00703,                0.00703,                0.00703
                     93,                0.90559,                0.47313,                 0.9519,                 1.0966,                0.48882,                0.95894,                 0.9133,                0.78072,                 0.8847,                0.69378,                0.85954,                 0.4019,                0.91749,                0.95236,                0.35707,                0.90884,               0.006997,               0.006997,               0.006997
                     94,                0.91846,                0.47858,                0.96124,                  1.104,                0.49104,                 0.9693,                0.75492,                 0.8981,                 0.8741,                0.67773,                0.86237,                0.40811,                0.91522,                0.96091,                0.38228,                0.91323,               0.006964,               0.006964,               0.006964
                     95,                0.91655,                 0.4718,                0.96029,                 1.1059,                0.48166,                0.96838,                0.85931,                 0.9033,                0.92171,                0.71465,                0.86029,                0.38491,                0.92004,                0.96781,                0.33979,                0.91171,               0.006931,               0.006931,               0.006931
                     96,                0.92029,                0.47442,                0.96479,                 1.1125,                 0.4816,                0.97127,                0.78927,                0.88859,                0.90721,                0.70798,                0.86623,                0.39881,                0.91561,                0.97676,                0.34687,                0.90904,               0.006898,               0.006898,               0.006898
                     97,                0.91465,                0.47471,                0.96106,                 1.1083,                0.49156,                0.96863,                 0.9033,                0.85849,                0.92226,                0.71231,                0.86899,                0.40623,                0.91471,                0.95645,                0.36293,                0.90688,               0.006865,               0.006865,               0.006865
                     98,                0.91869,                0.47355,                0.95605,                 1.1111,                 0.4839,                0.96315,                0.84381,                0.87907,                0.90798,                0.69793,                0.87126,                0.40845,                0.91604,                0.96711,                0.40122,                0.90726,               0.006832,               0.006832,               0.006832
                     99,                0.92574,                0.48044,                 0.9626,                 1.1109,                0.49167,                0.96431,                0.81944,                0.93684,                0.93213,                0.70497,                0.86707,                0.39908,                0.91664,                0.97472,                0.34707,                 0.9146,               0.006799,               0.006799,               0.006799
                    100,                0.91405,                0.47579,                0.95275,                 1.1031,                0.47097,                 0.9599,                0.92784,                0.81837,                0.90131,                0.69012,                0.86397,                0.39922,                0.91304,                0.97322,                0.34485,                 0.9074,               0.006766,               0.006766,               0.006766
                    101,                0.91189,                0.46871,                0.95329,                 1.1022,                0.46951,                0.95942,                0.81353,                 0.9497,                0.92666,                0.70815,                0.86116,                0.39349,                0.90947,                0.96387,                0.35083,                0.90601,               0.006733,               0.006733,               0.006733
                    102,                0.90637,                0.46494,                0.95951,                 1.0912,                 0.4627,                 0.9664,                 0.9407,                0.84699,                0.91517,                0.70064,                0.85538,                0.39149,                0.91048,                0.95813,                0.34761,                 0.9056,                 0.0067,                 0.0067,                 0.0067
                    103,                0.91546,                0.47119,                 0.9553,                 1.1085,                0.47733,                0.96109,                0.97175,                0.82751,                0.91436,                0.70735,                0.85463,                0.40385,                0.90929,                0.95185,                0.35018,                0.90777,               0.006667,               0.006667,               0.006667
                    104,                0.89457,                0.46239,                 0.9492,                 1.0826,                0.46508,                0.95527,                 0.9466,                0.87644,                 0.9273,                0.71312,                0.85215,                0.38447,                0.90816,                 0.9481,                0.33485,                0.90637,               0.006634,               0.006634,               0.006634
